ARTIST_ID,ARTIST_MBID,ALBUM_NAME,SONG_RELEASE_YEAR
ARSE5NP1187B9B98AB,0bc858a1-3573-4216-9423-c96dd8c72919,The Black Jason Of Rap,2018
ARYKF861187B99C74B,063d505c-cbdc-4db6-b8d1-02046d61a1e1,S'Wonderful Movie'n Bossa,1963
AR08YJF1187B9B2D59,fe75adb0-a2bd-4e34-91d4-91974c4eab13,Nerosubianco Original Soundtrack,0
AR9AWNF1187B9AB0B4,4cd556a5-db82-43f6-8d55-99598b42da8f,At Last...The Duets Album,0
AREWQSE1187B9AEC6C,4f91f760-85f6-4603-9b60-15789000e256,Hear Our Prayers O Lord,2017
ARVX3V41187FB59E0F,2c08026e-c7dc-4bca-b9f3-74bb3621b586,King Of Western Swing_ Vol. 5,0
ARAZYBE1187FB38BC1,aaf21e93-f511-4e5d-a758-2c79b243798a,Diamond In The Bluff,2019
ARXRYQS11F4C846B96,212bae63-4083-4fe3-a27a-3e986b4f96ad,Iyo,2008
ARFEV5S1187B99F2EA,585a9c75-dcca-4019-97df-899921f841f9,Echoes Of Tomorrow,1995
ARA6H4G1187B99E2F2,79de65f4-4f6e-4118-9f1d-87787d15d247,Refractory,2005
ARUACR61187FB3AB37,833ffe4c-1df1-4dda-91e4-d0f2d4db84a7,StoffwÃÂÃÂ¤chsu,2001
ARBXBQR1187FB56FA5,f75b906a-a107-4f57-b846-fb98f6ce5e21,Eternity's Sunrise,2000
AR1W3MA1187B99E6D8,79ddcfab-f507-4f44-9d2f-1b296ad06f23,Walking In Faith,1990
AREXX3T1187B989950,f656161e-e11e-489d-85fa-b07cfd5f168c,It Goes Like This,1993
ARDK87R1187B98D51C,c826bda4-4f4f-4746-81ba-5f66ac9c95e5,Kicks,2009
AR26X1C1187B9B0A1B,a3c60d26-90d6-4788-ba9b-a89693fc396d,Southern Comfort,1982
AR6DGPH1187B998587,e7543947-9735-4fd1-87f8-9c1740fa2cef,Needy Time,2017
ARXFWVC1187B98ED6B,793f666d-8ec6-434e-a0d6-3948d39ae132,Start The Car,1990
ARMX5R91187B991E20,4e1edd59-6648-45ae-9f85-a240b3689496,SOUNDZYSTEM Vol.1 - Mixed By Hakan Lidbo,1999
ARCGJ6U1187FB4D01F,1138a764-2212-4d0a-b02d-0dc14df91e08,Riddim Driven: Fiesta,0
AR3U3G01187FB58BA7,48aed1b2-d62a-4037-be72-f16e4262519a,The Green Album,1990
AR5EQRI1187FB41287,371795db-f780-4380-affd-92e0a0bf7ef5,Inside Out,2001
AR7358P1187B9B6880,6d2a9594-ebcf-4e0d-88d4-49809a440652,Dial Me,2019
ARYECMK1187FB5C081,74739043-1e0a-4b4f-8d7a-98d9d30a59b1,Pink Chokolate!,2003
ARBUHDB1187FB3E72C,97ebb1b4-1d9c-4303-bb60-074c993e2d53,The Singles Collection,2006
AR2WUJP1187B99364C,c408069a-4f28-4a2c-80d9-0606c315e76f,Missing,2008
ARHK7A51187FB411D8,90dcf7e4-4df5-44cb-a120-3765db263418,A Man from Duck Run/The Country Side of Roy Rogers,1999
AR5R7791187FB3A8C3,07c766d0-7734-4574-ad5a-0798ae57ff5d,Puccini: La BohÃÂÃÂ¨me - Highlights,1987
AR77FBJ1187FB49D8D,67e82ed6-bbde-4c80-9bc0-c7683a174bfc,All the Way,2003
AR95QS71187FB3F49A,743b4816-7687-46bf-b4e8-8618c0062e02,Without Zero,2007
AR6HEHH1187B9985F9,e9ef278b-740e-440e-97a7-7039ec589feb,Russ Morgan At Catalina (Digitally Remastered),2004
ARHP4FT1187FB3897C,6116bd4a-1e7a-4e76-9b59-0b23a2887b01,Over There! Songs of the American Expeditionary Force 1917-18,1911
ARBB58Y1187B9B621B,1c701b15-54f5-4de2-8e17-1a9e3b167a6b,Reunion,2004
AROBQ0B1187FB404F6,f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8,R&B: From Doo-Wop To Hip-Hop,1999
ARPXDY61187B9AD0A8,d45641da-371c-430e-8907-6086590ab282,An Diolaim,1998
