artist_id,artist_mbid,artist_name,artist_latitude,artist_longitude,artist_location,artist_familiarity,artist_hotttnesss,song_id,song_title,song_hotttnesss,song_release_year,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,album_name
ARTH9041187FB43E1F,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,nan,nan,"St. Joseph, MO",0.871010615313384,0.8048304278312782,SOLXDDC12A6701FBFD,I'm Back,0.8117075314137592,2000,312.2673,0.0,11,0.313,-3.989,0,0.315,288.502,180.168,4,1.0,TRAUURC128E078EC6E,The Marshall Mathers LP
ARK0TRD1187FB3BDE5,48901e22-cc02-4fa0-8c7f-1fe2930dd45e,Bob Hope,51.45102,0.05102,"Eltham, England",0.43759907186364566,0.3364197375804766,SOGUTKT12A8C1442E4,Merry-Go-Runaround,nan,2003,147.722,0.0,8,0.237,-13.21,1,0.492,147.722,133.325,1,0.817,TRAUUQI128F92D8620,Thanks For The Memory
AR9OLFX1187B9A5762,c727f585-54e0-4e0d-b8ad-05f216f99244,Bob Wills,31.30757,-96.63166,"Kosse, TX",0.49883497525793824,0.37996076697507797,SOYHZYO12A8C1391D8,Yearning Just For You,nan,0,160.26077,0.427,2,0.557,-12.009,1,0.544,151.65,88.301,1,0.177,TRAUUEG128F428F323,For The Last Time
ARFILWJ1187B9ADDBF,0059d0f1-8d04-4363-a2b2-d79f8b9a29b8,María Elena Walsh,nan,nan,,0.34151385491859326,0.2570629202962798,SOUJQJI12AB0183C80,Canción De Títeres,nan,0,114.80771,0.0,1,0.801,-11.836,1,0.748,111.554,111.104,4,0.137,TRAUUFZ128F933AB89,Todos Cantamos Con Maria Elena
ARSPQ0H1187B999944,70ac2314-d7d8-4435-b56c-9bad9a516642,Eric Burdon,54.97938,-1.54508,"Walker-on-Tyne, England",0.6010690522149722,0.3591859927517973,SOCORMS12A67AE124F,Devil's Daughter,0.4634896622372766,1988,262.97424,0.165,5,0.312,-8.737,1,0.152,256.935,80.031,4,0.0,TRAUUZF128EF347CD5,Soldier Of Fortune
AROLMXS1241B9C6915,,An Cafe,nan,nan,,0.4553718550323032,0.3138666001571988,SORWVEZ12A8C13C031,ONE WAY LOVE,nan,0,276.13995,0.305,6,0.552,-3.856,1,0.511,269.711,152.988,4,0.692,TRAUUYL128F9322F64,Goku Tama Rock Cafe
AR1U3BY1187B9B136F,dda71dfb-3df9-48f9-90ac-577d3d2b2a01,God Lives Underwater,nan,nan,,0.5644969719384171,0.36338641535022187,SOPWHEV12AB017DC10,Don't Know How To Be,0.56142851762879,1995,215.40526,0.0,2,0.411,-5.66,1,0.406,207.975,169.966,4,0.952,TRAUUIF128F93232FE,Empty
ARENLSD1241B9C71B9,,Mack and Jamie,nan,nan,,0.370429861995241,0.26626975719270224,SOOAUWY12A8C14301D,Althea Cooley,nan,0,27.6371,0.0,9,0.145,-14.629,0,0.549,27.637,118.668,3,0.741,TRAUUQO128F4297426,Extreme Channel Surfing
ARAVPU21187B993957,685c472f-9abf-4490-a845-6aa13b0922af,Don & Juan,40.19033,-82.66947,Ohio,0.5856101413317212,0.31703675194280706,SOAOFAT12AB018975D,Sincerely,nan,0,148.16608,0.845,2,0.297,-10.666,1,0.506,135.5,98.442,3,1.0,TRAUUQJ12903CBB6B4,Don & Juan
AR3N2H11187B98AFBA,130ba5d4-4d6f-4224-86bc-0f4a0cfb6b22,Sivuca,-10.68641,-37.42475,"Itabaiana, Para�, Brazil",0.4796207472295076,0.3243342048085304,SORWVHN12A8C1459EA,Copacabana,nan,0,137.482,0.52,7,0.631,-16.469,0,0.672,134.223,148.046,4,0.0,TRAUZFR128F93381F4,Samba Nouvelle Vague
ARZ8KO81187B9B1B7C,2882ffa3-dec9-4055-a842-a950728bcb02,Burt Bacharach,nan,nan,,0.6067695732048534,0.4707902495273688,SOTMGME12AB017F79B,Are You There (With Another Girl),nan,1967,175.882,0.253,7,0.574,-13.04,1,0.503,167.822,115.756,3,0.592,TRAUZLI128E0791D51,Reach Out
ARE8HA81187B99A95F,35497426-d0dc-4cfa-a3ae-e027383ffebd,The Katies,nan,nan,,0.5023582837041984,0.26237162548507353,SONXKLQ12A8C141242,Tappin' Out (LP Version),nan,0,199.8624,0.201,2,0.487,-6.077,1,0.652,192.534,155.193,1,0.0,TRAUZTO128F92F1E6C,The Katies
ARQUFQK11F4C83C0D8,,4 Skins,nan,nan,,0.528653456088923,0.0,SOLSXXH12A8C143166,A.C.A.B. (Bumper Sessions),nan,0,89.44281,0.461,4,0.794,-7.238,1,0.627,85.095,140.52,1,0.0,TRAUZAP128F92F281A,Singles And Rarities
ARBM57Q1187B9AF97C,679ec43c-bc04-4bb0-b619-2da702a214ba,James Horner,34.05349,-118.24532,"Los Angeles, CA",0.6795192077928062,0.491828704353138,SOKGPRX12A8C138268,The Stranger,0.4015024628846505,2003,231.57506,0.636,2,0.699,-30.387,0,0.747,213.188,186.138,4,1.0,TRAUZLI128F427EA58,The Missing
ARUEYGC1187FB3D94B,daf21090-1c0f-46e6-bd76-9cd4d6ef7128,The Chi-Lites,41.88415,-87.63241,"Chicago, IL",0.6072601288303907,0.4030007990319534,SONHEUO12AF72A4792,Intro,nan,0,251.27138,4.075,5,0.534,-16.218,1,0.565,251.271,138.501,4,0.26,TRAUZTB128F422730F,Greatest Hits Live
ARXPPEY1187FB51DF4,f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,nan,nan,,0.8665203198102411,0.7665454507572961,SOQUAIH12AB0181406,I Wanna Be Where You Are,nan,1972,182.7522,0.148,4,0.495,-8.962,0,0.503,162.975,207.544,4,0.0,TRAUZTR128F9351D2A,Hello World - The Motown Solo Collection
AR0J0OD1187FB3AFB5,bf914ef0-9819-4186-a283-093829debb0c,The Scare,nan,nan,,0.5820617444569258,0.40491001355045914,SOONMKD12A81C2413A,NOT IN LOVE,0.39670013841706814,0,218.95791,0.537,9,0.49,-4.692,0,0.473,211.598,95.33,3,1.0,TRAUZKB128F4287ED6,Chivalry
ARUI2ZJ1187FB3ACA5,11b08537-e3cb-49c7-be55-481ab173dcb0,Mario Telles,nan,nan,,0.2361050409465589,0.19936896984358282,SOKPBBP12A8AE49419,Nanã,nan,1962,212.13995,0.183,2,0.854,-9.989,1,0.567,207.482,97.34,4,0.0,TRAUZOU128F4260C88,Mario Telles
AREDBBQ1187B98AFF5,cfc840a4-dfdc-40b9-9ed8-c8ec72739406,Eddie Calvert,nan,nan,,0.4211873261576227,0.31054467213545245,SONHNAC12A8C13A15A,Tenderly,nan,0,171.65016,2.897,7,0.219,-19.941,1,0.29,163.271,130.598,7,0.756,TRAUZED128F4274561,Memories Of You
ARZXLZD11E2835CEA7,7e54e412-bb31-481c-9a5b-cd5ba7199f46,Jason Michael Carroll,nan,nan,,0.773736294381164,0.5244672240722154,SONMZBU12A58A7D2D3,No Good In Goodbye,0.4909042005420652,2007,229.8771,0.136,2,0.465,-3.662,1,0.479,219.347,87.712,4,0.618,TRAUZFY128F42BCE57,Waitin' In The Country
ARAJPHH1187FB5566A,91d01e5f-252d-469d-a16a-12c613e48e5d,The Shangri-Las,40.7038,-73.83168,"Queens, NY",0.4009789636501435,0.4182165181949368,SOBDYCT12AB0183AF5,Remember (Walkin' In the Sand),nan,1964,136.01914,0.921,10,0.218,-13.53,1,0.364,123.135,65.771,4,0.648,TRAUZVU12903CC050D,100 Love Evergreen
ARE36MM1187B991E50,9481010a-db23-469d-87df-b04118850efb,Blind Lemon Jefferson,31.1689,-100.07715,"Couchman, TX",0.5948666454751887,0.38284690149999745,SOITIZR12A8C13BA50,Wartime Blues,nan,1927,185.41669,0.0,10,0.355,-19.308,0,0.263,181.226,162.496,4,0.321,TRAUSMF12903CE71E5,King Of The Country Blues
ARHEQ501187FB4F898,ee0552e7-de2b-4fc2-8739-9c33a905c3e7,Fruko Y Sus Tesos,nan,nan,,0.5337244769394693,0.3707476836905326,SOQUAKN12A8AE486C2,La Fruta Bomba,nan,2000,242.75546,0.223,8,0.519,-8.588,1,0.553,237.621,84.751,7,0.561,TRAUSQP128F4230490,Fruko Power Salsa
AR6G29T1187B9A99F9,543edda0-d61e-4698-97fa-1f34a1322d20,KMD,nan,nan,,0.5878270356520552,0.37998001738563625,SOWMHFS12AB017F85E,Change Your Mind,nan,0,239.12444,0.218,4,1.0,-10.877,1,0.721,231.648,119.961,4,0.908,TRAUSKE128F930FB12,KMD And The Rave
ARXGICZ1187FB444DD,625689fe-ee9c-44bc-87ee-e42ad7b97e7c,The Merry Macs,44.97903,-93.26493,"Minneapolis, MN",0.35449610815774923,0.24945364941116577,SOIMAKW12AB01887BF,Dolores,nan,0,194.84689,0.171,8,0.116,-18.692,1,0.371,185.893,71.27,4,1.0,TRAUSVR12903CD57A5,Classic Years of The Merry Macs
ARPAL0H1187B990A8E,09b8609a-ca39-4f34-a2f6-5b81afc2c32d,Nana Mouskouri,37.97615,23.73641,"Athens, Greece",0.5882378619955281,0.3871861471349829,SOAGEUK12A8C137581,Only You,0.0,1997,175.12444,0.398,2,0.658,-11.778,1,0.685,166.29,137.476,4,0.0,TRAUSOM128F9337BC3,Songs For You
AR0G47L1187B98CC6D,1ab5ec20-743e-4f11-9c37-237f190ae447,Frank Chacksfield,50.91552,0.48883,"Battle, Sussex, England",0.44625666654061785,0.3463575222425513,SOGEWLT12AB018A185,Theme From the Victors,nan,0,142.65424,0.467,3,0.452,-20.139,1,0.631,135.784,95.611,1,0.76,TRAUSAA12903CBBB7A,Windsor Strings
ARDVZTE1187FB5A0A1,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Bon Jovi,nan,nan,"Sayreville, NJ",0.8392976775681696,0.7188914556702095,SOCZUUF12A58A7BE8C,Wildflower,0.6270737964039372,2005,253.83138,0.212,7,0.549,-6.083,1,0.628,245.232,93.044,4,0.619,TRAUSHD128E0795347,Have A Nice Day
ARMB95F1187B9B5B93,ea6b7199-901d-4c0e-8242-6d7bc2bf62b7,Cam'Ron,40.8079,-73.9454,"Harlem, NY",0.8582706777960948,0.515325300572259,SOBEXVO12AB0180C53,O.T. (Skit),nan,2004,24.73751,0.0,7,0.062,-28.603,1,0.404,24.738,215.0,3,1.0,TRAUSFP128F42A6BEE,Purple Haze
AR4EVIX1187B993DE9,7a08d4fb-e5c1-4c39-a99b-1908ca2e83b4,Alceu Valença,nan,nan,,0.5449794475871426,0.3667134316255126,SOMQKIK12AB01824F5,Na Primeira Manhã,nan,1997,162.84689,0.0,0,0.537,-9.785,1,0.533,162.847,121.988,4,0.954,TRAUSBV128F9344D08,Ao Vivo Em Todos Os Sentidos
AR211WC1187FB52425,b5473212-03b8-471a-8ccc-025fd114f543,Time Zone,nan,nan,"HARPERSVILLE, Alabama",0.46977960026764576,0.3458666651020481,SOVLRKB12AC4687C3B,World Destruction (2005 Digital Remaster),0.22914410371660274,0,233.63873,3.117,7,0.53,-7.532,1,0.556,220.288,92.499,5,0.921,TRAUSYQ12903CE5242,The Best Of British
AR633SY1187B9AC3B9,6fe07aa5-fec0-4eca-a456-f29bff451b04,Weezer,nan,nan,,0.8311971771073585,0.7761677423241047,SOHJIWJ12AB0184EF9,Dope Nose,0.8172275597425861,2002,137.37751,0.162,10,0.018,-5.477,0,0.345,134.194,127.407,4,0.877,TRAUMIT128F424DA18,Maladroit
ARU230L1187FB4642F,2e1f1a21-9c2b-49e1-b0ab-0061ff019bd3,Walter Hawkins,37.80506,-122.27302,"Oakland, CA",0.47582793450484695,0.3140081673180904,SOWRKPT12AC468E5D5,Never Alone,0.26586104921065007,1978,468.00934,0.0,1,0.451,-13.75,1,0.547,458.101,129.761,4,0.0,TRAUMBG12903CF0D68,Love Alive II
ARVSB691187FB3C711,c7c19398-f083-4f31-a1c8-966ed9b177f5,Hector,nan,nan,CANADA - Ontario,0.5887266353072353,0.3685504476390117,SOACDZP12AB0188A3C,Hannikaisen baari,0.5479529419800353,0,282.64444,0.334,4,0.539,-13.98,1,0.649,271.563,133.088,1,0.0,TRAUMZG128F934462A,Hotelli Hannikainen
ARWXHRS1241B9C7A1E,,Thomas Battenstein,nan,nan,,0.42562724003042296,0.0,SOUFDQA12AB0189758,Jag Vet En Dejlig Rosa,nan,0,175.90812,0.648,7,0.583,-18.529,0,0.58,164.455,98.241,1,0.0,TRAUMVE12903CE05FE,Guitaropa
