location,lat,lng
"South Creek, Washington, WA, United States, US",46.9994,-122.3921
"Roslyn, Washington, WA, United States, US",47.2507,-121.0989
"Sprague, Washington, WA, United States, US",47.3048,-117.9713
"Gig Harbor, Washington, WA, United States, US",47.3352,-122.5968
"Lake Cassidy, Washington, WA, United States, US",48.0639,-122.092
"Tenino, Washington, WA, United States, US",46.8537,-122.8607
"Jamestown, Washington, WA, United States, US",48.1229,-123.0911
"Three Lakes, Washington, WA, United States, US",47.942,-121.9924
"Curlew Lake, Washington, WA, United States, US",48.7311,-118.6663
"Chain Lake, Washington, WA, United States, US",47.9038,-121.9861
"Pateros, Washington, WA, United States, US",48.0536,-119.8994
"Rosburg, Washington, WA, United States, US",46.3076,-123.6344
"Parkland, Washington, WA, United States, US",47.1417,-122.4376
"Birch Bay, Washington, WA, United States, US",48.923,-122.7543
"Ashford, Washington, WA, United States, US",46.7537,-122.0113
"Navy Yard City, Washington, WA, United States, US",47.5508,-122.6655
"Omak, Washington, WA, United States, US",48.4228,-119.5159
"Farmington, Washington, WA, United States, US",47.0887,-117.0464
"Buckley, Washington, WA, United States, US",47.1615,-122.02
"Cathcart, Washington, WA, United States, US",47.8525,-122.1058
"Poulsbo, Washington, WA, United States, US",47.7417,-122.6408
"Anacortes, Washington, WA, United States, US",48.4878,-122.6292
"Maplewood, Washington, WA, United States, US",47.3715,-122.5689
"Creston, Washington, WA, United States, US",47.7595,-118.52
"Rockford, Washington, WA, United States, US",47.4513,-117.1307
"Wishram, Washington, WA, United States, US",45.6599,-120.9698
"Centralia, Washington, WA, United States, US",46.7225,-122.9695
"South Hill, Washington, WA, United States, US",47.1203,-122.2848
"Longview Heights, Washington, WA, United States, US",46.1796,-122.9577
"Erlands Point-Kitsap Lake, Washington, WA, United States, US",47.5973,-122.7021
"Amboy, Washington, WA, United States, US",45.9122,-122.4795
"St. John, Washington, WA, United States, US",47.0915,-117.5887
"Dallesport, Washington, WA, United States, US",45.6316,-121.1749
"Ketron Island, Washington, WA, United States, US",47.1569,-122.6343
"Mesa, Washington, WA, United States, US",46.5737,-119.0013
"Fife, Washington, WA, United States, US",47.2328,-122.3518
"Moses Lake North, Washington, WA, United States, US",47.1949,-119.3186
"Chewelah, Washington, WA, United States, US",48.2929,-117.7336
"Grayland, Washington, WA, United States, US",46.8304,-124.0898
"Kittitas, Washington, WA, United States, US",46.9837,-120.4191
"Camano, Washington, WA, United States, US",48.1865,-122.4708
"Monroe North, Washington, WA, United States, US",47.883,-121.9882
"North Bonneville, Washington, WA, United States, US",45.6425,-121.9689
"Klickitat, Washington, WA, United States, US",45.818,-121.1626
"Loon Lake, Washington, WA, United States, US",48.0685,-117.6298
"Newport, Washington, WA, United States, US",48.1788,-117.0545
"Mead, Washington, WA, United States, US",47.7795,-117.35
"Cashmere, Washington, WA, United States, US",47.5175,-120.4671
"Aberdeen Gardens, Washington, WA, United States, US",47.0587,-123.7791
"Ocean Shores, Washington, WA, United States, US",46.9685,-124.1521
"Basin City, Washington, WA, United States, US",46.5891,-119.1567
"Wilkeson, Washington, WA, United States, US",47.1034,-122.0495
"Meadow Glade, Washington, WA, United States, US",45.7524,-122.5614
"Arlington Heights, Washington, WA, United States, US",48.2119,-122.063
"Uniontown, Washington, WA, United States, US",46.5391,-117.0861
"Oakesdale, Washington, WA, United States, US",47.1305,-117.2465
"West Side Highway, Washington, WA, United States, US",46.1841,-122.9178
"Conconully, Washington, WA, United States, US",48.5571,-119.7513
"Latah, Washington, WA, United States, US",47.2822,-117.1557
"Elma, Washington, WA, United States, US",47.0055,-123.4112
"Tieton, Washington, WA, United States, US",46.7026,-120.756
"Southworth, Washington, WA, United States, US",47.5126,-122.5298
"Danville, Washington, WA, United States, US",48.9938,-118.5068
"Toppenish, Washington, WA, United States, US",46.3807,-120.3125
"River Road, Washington, WA, United States, US",48.0677,-123.1276
"Geneva, Washington, WA, United States, US",48.7461,-122.4064
"Yakima, Washington, WA, United States, US",46.5923,-120.5496
"Moxee, Washington, WA, United States, US",46.5638,-120.3968
"Edmonds, Washington, WA, United States, US",47.8114,-122.3533
"Kalama, Washington, WA, United States, US",46.0171,-122.8393
"Laurier, Washington, WA, United States, US",48.9974,-118.2248
"Vashon, Washington, WA, United States, US",47.4122,-122.4726
"Country Homes, Washington, WA, United States, US",47.7478,-117.4197
"Darrington, Washington, WA, United States, US",48.2546,-121.6029
"Metaline Falls, Washington, WA, United States, US",48.8616,-117.3706
"Lyle, Washington, WA, United States, US",45.6956,-121.2805
"Cascade Valley, Washington, WA, United States, US",47.1371,-119.3272
"Spangle, Washington, WA, United States, US",47.4299,-117.3812
"Methow, Washington, WA, United States, US",48.1289,-120.0056
"Waterville, Washington, WA, United States, US",47.648,-120.0707
"Lake Roesiger, Washington, WA, United States, US",47.9839,-121.9129
"Milton, Washington, WA, United States, US",47.2522,-122.3154
"Krupp, Washington, WA, United States, US",47.4105,-118.9886
"Alderton, Washington, WA, United States, US",47.1718,-122.2192
"DuPont, Washington, WA, United States, US",47.1079,-122.6496
"Edgewood, Washington, WA, United States, US",47.2309,-122.2832
"North Puyallup, Washington, WA, United States, US",47.2015,-122.2742
"Pacific Beach, Washington, WA, United States, US",47.215,-124.1967
"Manson, Washington, WA, United States, US",47.8858,-120.1563
"Brewster, Washington, WA, United States, US",48.1034,-119.7751
"Battle Ground, Washington, WA, United States, US",45.7764,-122.5413
"Shoreline, Washington, WA, United States, US",47.7564,-122.3426
"Cosmopolis, Washington, WA, United States, US",46.9541,-123.7725
"Airway Heights, Washington, WA, United States, US",47.6459,-117.5792
"Grandview, Washington, WA, United States, US",46.2431,-119.9084
"Inchelium, Washington, WA, United States, US",48.3378,-118.2372
"Grand Coulee, Washington, WA, United States, US",47.9391,-119.0031
"Union, Washington, WA, United States, US",47.3475,-123.0952
"Torboy, Washington, WA, United States, US",48.6772,-118.6689
"Kelso, Washington, WA, United States, US",46.1248,-122.8909
"Westport, Washington, WA, United States, US",46.8919,-124.112
"Junction City, Washington, WA, United States, US",46.9713,-123.7651
