artist_id,artist_name,artist_latitude,artist_longitude,artist_location,artist_familiarity,artist_hotttnesss,song_id,song_title,song_hotttnesss,song_release_year,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,album_name
ARD7TVE1187B99BFB1,Casual,41.4409,-82.184,California - LA,0.5817938,0.40199754,SOMZWCG12A8C13C480,I Didn't Mean To,0.60212,2006,218.9318,0.247,1.0,0.736,-11.197,0.0,0.636,218.932,92.198,4.0,0.778,TRAAAAW128F429D538,Fear Itself
ARMJAGH1187FB546F3,The Box Tops,35.14968,-90.04892,"Memphis, TN",0.63063,0.41749963,SOCIWDW12A8C13D406,Soul Deep,0.0,1969,148.03546,0.148,6.0,0.169,-9.843,0.0,0.43,137.915,121.274,4.0,0.384,TRAAABD128F429CF47,Dimensions
ARKRRTF1187B9984DA,Sonora Santanera,,,,0.48735678,0.34342837,SOXVLOJ12AB0189215,Amor De Cabaret,0.0,1991,177.47546,0.282,8.0,0.643,-9.689,1.0,0.565,172.304,100.07,1.0,0.0,TRAAADZ128F9348C2E,Las Numero 1 De La Sonora Santanera
AR7G5I41187FB4CE6C,Adam Ant,51.5,-0.1167,"London, England",0.63038236,0.45423114,SONHOTT12A8C13493C,Something Girls,0.26586103,1982,233.40363,0.0,0.0,0.751,-9.013,1.0,0.749,217.124,119.293,4.0,0.0,TRAAAEF128F4273421,Friend Or Foe
ARXR32B1187FB57099,Gob,,,,0.6510457,0.40172368,SOFSOCN12A8C143F5D,Face the Ashes,0.6045007,2007,209.60608,0.066,2.0,0.092,-4.501,1.0,0.371,198.699,129.738,4.0,0.562,TRAAAFD128F92F423A,Muertos Vivos
ARKFYS91187B98E58F,Jeff And Sheri Easter,,,,0.53529274,0.38547054,SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),0.39200878,2000,267.7024,2.264,5.0,0.635,-9.323,1.0,0.557,254.27,147.782,3.0,0.454,TRAAAMO128F1481E7F,Ordinary Day
ARD0S291187B9B7BF5,Rated R,4.6,101.065,Ohio,0.5564956,0.26194116,SOMJBYD12A6D4F8557,Keepin It Real (Skit),0.41967428,2003,114.78159,0.096,1.0,0.0,-17.302,1.0,0.0,114.782,111.787,1.0,0.0,TRAAAMQ128F1460CD3,Da Ghetto Psychic
AR10USD1187B99F3F1,Tweeterfriendly Music,36.0762,-79.4687,"Burlington, Ontario, Canada",0.80113643,0.60550714,SOHKNRJ12A6701D1F8,Drop of Rain,0.0,2000,189.57016,0.319,4.0,0.0,-11.642,0.0,0.16,181.023,101.43,3.0,0.408,TRAAAPK128E0786D96,Gin & Phonic
AR8ZCNI1187B9A069B,Planet P Project,,,,0.42666787,0.33227575,SOIAZJW12AB01853F1,Pink World,0.26586103,1984,269.81833,5.3,4.0,0.717,-13.496,1.0,0.652,258.99,86.643,4.0,0.487,TRAAARJ128F9320760,Pink World
ARNTLGG11E2835DDB9,Clp,,,,0.5505137,0.42270565,SOUDSGM12AC9618304,Insatiable (Instrumental Version),0.33470654,2003,266.39627,0.084,7.0,0.053,-6.697,0.0,0.473,261.747,114.041,4.0,0.878,TRAAAVG12903CFA543,Superinstrumental
